,ts_code,symbol,name,area,industry,fullname
0,600000.SH,600000,浦发银行,上海,银行,上海浦东发展银行股份有限公司
1,600004.SH,600004,白云机场,广东,机场,广州白云国际机场股份有限公司
2,600006.SH,600006,东风汽车,湖北,汽车整车,东风汽车股份有限公司
3,600007.SH,600007,中国国贸,北京,园区开发,中国国际贸易中心股份有限公司
4,600008.SH,600008,首创环保,北京,环境保护,北京首创生态环保集团股份有限公司
5,600009.SH,600009,上海机场,上海,机场,上海国际机场股份有限公司
6,600010.SH,600010,包钢股份,内蒙,普钢,内蒙古包钢钢联股份有限公司
7,600011.SH,600011,华能国际,北京,火力发电,华能国际电力股份有限公司
8,600012.SH,600012,皖通高速,安徽,路桥,安徽皖通高速公路股份有限公司
9,600015.SH,600015,华夏银行,北京,银行,华夏银行股份有限公司
10,600016.SH,600016,民生银行,北京,银行,中国民生银行股份有限公司
11,600017.SH,600017,日照港,山东,港口,日照港股份有限公司
12,600018.SH,600018,上港集团,上海,港口,上海国际港务(集团)股份有限公司
13,600019.SH,600019,宝钢股份,上海,普钢,宝山钢铁股份有限公司
14,600020.SH,600020,中原高速,河南,路桥,河南中原高速公路股份有限公司
15,600021.SH,600021,上海电力,上海,火力发电,上海电力股份有限公司
16,600022.SH,600022,山东钢铁,山东,普钢,山东钢铁股份有限公司
17,600023.SH,600023,浙能电力,浙江,火力发电,浙江浙能电力股份有限公司
18,600025.SH,600025,华能水电,云南,水力发电,华能澜沧江水电股份有限公司
19,600026.SH,600026,中远海能,上海,水运,中远海运能源运输股份有限公司
20,600027.SH,600027,华电国际,山东,火力发电,华电国际电力股份有限公司
21,600028.SH,600028,中国石化,北京,石油加工,中国石油化工股份有限公司
22,600029.SH,600029,南方航空,广东,空运,中国南方航空股份有限公司
23,600030.SH,600030,中信证券,深圳,证券,中信证券股份有限公司
24,600031.SH,600031,三一重工,北京,工程机械,三一重工股份有限公司
25,600032.SH,600032,浙江新能,浙江,新型电力,浙江省新能源投资集团股份有限公司
26,600033.SH,600033,福建高速,福建,路桥,福建发展高速公路股份有限公司
27,600035.SH,600035,楚天高速,湖北,路桥,湖北楚天智能交通股份有限公司
28,600036.SH,600036,招商银行,深圳,银行,招商银行股份有限公司
29,600037.SH,600037,歌华有线,北京,影视音像,北京歌华有线电视网络股份有限公司
30,600038.SH,600038,中直股份,黑龙江,航空,中航直升机股份有限公司
31,600039.SH,600039,四川路桥,四川,建筑工程,四川路桥建设集团股份有限公司
32,600048.SH,600048,保利发展,广东,全国地产,保利发展控股集团股份有限公司
33,600050.SH,600050,中国联通,北京,电信运营,中国联合网络通信股份有限公司
34,600051.SH,600051,宁波联合,浙江,综合类,宁波联合集团股份有限公司
35,600052.SH,600052,浙江广厦,浙江,影视音像,浙江广厦股份有限公司
36,600053.SH,600053,九鼎投资,江西,多元金融,昆吾九鼎投资控股股份有限公司
37,600054.SH,600054,黄山旅游,安徽,旅游景点,黄山旅游发展股份有限公司
38,600055.SH,600055,万东医疗,北京,医疗保健,北京万东医疗科技股份有限公司
39,600056.SH,600056,中国医药,北京,医药商业,中国医药健康产业股份有限公司
40,600057.SH,600057,厦门象屿,福建,仓储物流,厦门象屿股份有限公司
41,600058.SH,600058,五矿发展,北京,商贸代理,五矿发展股份有限公司
